id,fecha,monto,descripcion
285.0,2026-05-10,700000.0,Entrenamiento del personal
393.0,,900000.0,alquiler
140.0,,300000.0,Compra de materiales
78.0,,400000.0,publicidad
82.0,,300000.0,publicidad
266.0,2026-05-07,200000.0,alquiler
244.0,2026-05-09,300000.0,Compra de materiales
273.0,2026-05-08,600000.0,
352.0,,700000.0,mantenimiento
449.0,2026-05-06,600000.0,
442.0,2026-05-10,400000.0,comida
279.0,,700000.0,Entrenamiento del personal
342.0,2026-05-01,100000.0,publicidad
68.0,2026-05-10,500000.0,11
139.0,,500000.0,comida
55.0,2026-05-04,,publicidad
,2026-05-07,100000.0,alquiler
,2026-05-05,700000.0,mantenimiento
268.0,,100000.0,Gastos de viaje
186.0,2026-05-02,400000.0,otros
422.0,,800000.0,Gastos de viaje
104.0,2026-05-01,500000.0,a
120.0,,300000.0,otros
219.0,,400000.0,alquiler
470.0,,300000.0,comida
363.0,2026-05-09,400000.0,Compra de materiales
244.0,2026-05-09,300000.0,
282.0,2026-05-06,800000.0,
443.0,2026-05-06,,mantenimiento
159.0,2026-05-10,600000.0,
237.0,2026-05-09,,publicidad
330.0,2026-05-05,300000.0,comida
,2026-05-04,200000.0,Compra de materiales
61.0,2026-05-08,1000000.0,publicidad
27.0,2026-05-09,700000.0,comida
456.0,,100000.0,comida
459.0,,200000.0,mantenimiento
,2026-05-05,800000.0,Gastos de viaje
280.0,2026-05-03,,alquiler
475.0,,800000.0,mantenimiento
35.0,,500000.0,Entrenamiento del personal
313.0,2026-05-06,800000.0,-10
23.0,,200000.0,Compra de materiales
315.0,2026-05-02,200000.0,
203.0,2026-05-08,300000.0,Entrenamiento del personal
,2026-05-02,300000.0,otros
485.0,2026-05-06,900000.0,a
236.0,2026-05-04,600000.0,Gastos de viaje
205.0,2026-05-03,,mantenimiento
382.0,2026-05-02,700000.0,a
,2026-05-02,200000.0,comida
434.0,2026-05-06,200000.0,
180.0,,1000000.0,Compra de materiales
433.0,2026-05-02,,Inversión en tecnología
,2026-05-06,200000.0,mantenimiento
77.0,,900000.0,alquiler
34.0,2026-05-09,,alquiler
500.0,2026-05-04,600000.0,alquiler
,2026-05-02,100000.0,Inversión en tecnología
,2026-05-07,500000.0,Pago de servicios
234.0,2026-05-09,,Gastos de viaje
403.0,2026-05-08,900000.0,-10
123.0,2026-05-07,,Entrenamiento del personal
52.0,2026-05-06,100000.0,Gastos de viaje
194.0,,800000.0,Pago de servicios
498.0,2026-05-01,200000.0,Inversión en tecnología
164.0,,700000.0,alquiler
375.0,2026-05-08,700000.0,comida
,2026-05-08,400000.0,publicidad
420.0,2026-05-09,600000.0,Entrenamiento del personal
469.0,2026-05-05,1000000.0,11
48.0,,700000.0,otros
426.0,,500000.0,Entrenamiento del personal
317.0,2026-05-08,900000.0,a
289.0,2026-05-08,200000.0,
163.0,,1000000.0,otros
262.0,2026-05-08,100000.0,Entrenamiento del personal
92.0,2026-05-10,800000.0,Inversión en tecnología
284.0,2026-05-04,-100000.0,publicidad
252.0,2026-05-04,600000.0,11
,2026-05-08,100000.0,Entrenamiento del personal
492.0,,200000.0,comida
